target_name,target_class,expected_sugar_family,smiles,enabled,structure_status,pubchem_cid,pubchem_inchikey,source_url,notes
hesperidin,flavanone_glycoside,rutinose,C[C@H]1[C@@H]([C@H]([C@H]([C@@H](O1)OC[C@@H]2[C@H]([C@@H]([C@H]([C@@H](O2)OC3=CC(=C4C(=O)C[C@H](OC4=C3)C5=CC(=C(C=C5)OC)O)O)O)O)O)O)O)O,true,verified_pubchem,10621,QUQPHWDTPGMPEX-QJBIFVCTSA-N,https://pubchem.ncbi.nlm.nih.gov/compound/10621,PubChem PUG-REST CanonicalSMILES/SMILES property fetched 2026-06-30
naringin,flavanone_glycoside,neohesperidose,C[C@H]1[C@@H]([C@H]([C@H]([C@@H](O1)O[C@@H]2[C@H]([C@@H]([C@H](O[C@H]2OC3=CC(=C4C(=O)C[C@H](OC4=C3)C5=CC=C(C=C5)O)O)CO)O)O)O)O)O,true,verified_pubchem,442428,DFPMSGMNTNDNHN-ZPHOTFPESA-N,https://pubchem.ncbi.nlm.nih.gov/compound/442428,PubChem PUG-REST CanonicalSMILES/SMILES property fetched 2026-06-30
neohesperidin,flavanone_glycoside,neohesperidose,C[C@H]1[C@@H]([C@H]([C@H]([C@@H](O1)O[C@@H]2[C@H]([C@@H]([C@H](O[C@H]2OC3=CC(=C4C(=O)C[C@H](OC4=C3)C5=CC(=C(C=C5)OC)O)O)CO)O)O)O)O)O,true,verified_pubchem,442439,ARGKVCXINMKCAZ-UZRWAPQLSA-N,https://pubchem.ncbi.nlm.nih.gov/compound/442439,PubChem PUG-REST CanonicalSMILES/SMILES property fetched 2026-06-30
narirutin,flavanone_glycoside,rutinose,C[C@H]1[C@@H]([C@H]([C@H]([C@@H](O1)OC[C@@H]2[C@H]([C@@H]([C@H]([C@@H](O2)OC3=CC(=C4C(=O)C[C@H](OC4=C3)C5=CC=C(C=C5)O)O)O)O)O)O)O)O,true,verified_pubchem,442431,HXTFHSYLYXVTHC-AJHDJQPGSA-N,https://pubchem.ncbi.nlm.nih.gov/compound/442431,PubChem PUG-REST CanonicalSMILES/SMILES property fetched 2026-06-30
rutin,flavonol_glycoside,rutinose,C[C@H]1[C@@H]([C@H]([C@H]([C@@H](O1)OC[C@@H]2[C@H]([C@@H]([C@H]([C@@H](O2)OC3=C(OC4=CC(=CC(=C4C3=O)O)O)C5=CC(=C(C=C5)O)O)O)O)O)O)O)O,true,verified_pubchem,5280805,IKGXIBQEEMLURG-NVPNHPEKSA-N,https://pubchem.ncbi.nlm.nih.gov/compound/5280805,PubChem PUG-REST CanonicalSMILES/SMILES property fetched 2026-06-30
quercitrin,flavonol_glycoside,rhamnoside,C[C@H]1[C@@H]([C@H]([C@H]([C@@H](O1)OC2=C(OC3=CC(=CC(=C3C2=O)O)O)C4=CC(=C(C=C4)O)O)O)O)O,true,verified_pubchem,5280459,OXGUCUVFOIWWQJ-HQBVPOQASA-N,https://pubchem.ncbi.nlm.nih.gov/compound/5280459,PubChem PUG-REST CanonicalSMILES/SMILES property fetched 2026-06-30
