smiles,inchikey,count,first_seen_experiment,upstream_family,suggested_action,notes
CC(=O)O[C@@H]1[C@@H](O)[C@@H](OC(C)=O)[C@H](OC[C@H]2OC[C@H](OC(C)=O)[C@@H](OC(C)=O)[C@@H]2O)O[C@H]1C,SIOFUXOWYUQWQW-ZWUBSFMASA-N,1,flavonoid_strict,0.0 Unrecognized,manual_review_sugar_bridge,
CC(=O)O[C@@H]1[C@@H](O)[C@@H](OC(C)=O)[C@H](OC[C@H]2OC[C@H](O)[C@@H](OC(C)=O)[C@@H]2OC(C)=O)O[C@H]1C,ZVKTVLIJXGGLRT-CLTQVZSSSA-N,1,flavonoid_strict,0.0 Unrecognized,manual_review_sugar_bridge,
CC(=O)O[C@H]1[C@H](OC[C@H]2OC[C@H](OC(C)=O)[C@@H](OC(C)=O)[C@@H]2OC(C)=O)O[C@@H](C)[C@H](O)[C@H]1O,KSBOACHAAHEXPN-YRHVFKDNSA-N,1,flavonoid_strict,0.0 Unrecognized,manual_review_sugar_bridge,
CC(=O)O[C@@H]1[C@@H](O)[C@@H](OC(C)=O)[C@H](OC[C@H]2OC[C@H](OC(C)=O)[C@@H](O)[C@@H]2OC(C)=O)O[C@H]1C,FNNGBXJROBDWMA-ZHNUFAISSA-N,1,flavonoid_strict,0.0 Unrecognized,manual_review_sugar_bridge,
CC(=O)O[C@@H]1[C@@H](OC(C)=O)[C@H](C)O[C@@H](OC[C@H]2OC[C@H](O)[C@@H](O)[C@@H]2OC(C)=O)[C@@H]1OC(C)=O,FPSHZDPFWSRWBR-CLTQVZSSSA-N,1,flavonoid_trusted,0.0 Unrecognized,manual_review_sugar_bridge,
CC(=O)O[C@@H]1[C@@H](O)[C@@H](O)[C@H](OC[C@H]2OC[C@H](OC(C)=O)[C@@H](OC(C)=O)[C@@H]2O)O[C@H]1C,ALHWVJWBVAHMQU-GJGOQDGHSA-N,1,flavonoid_trusted,0.0 Unrecognized,manual_review_sugar_bridge,
CC(=O)O[C@H]1[C@H](OC(C)=O)[C@@H](CO[C@@H]2O[C@@H](C)[C@H](O)[C@@H](O)[C@H]2O)OC[C@@H]1OC(C)=O,GNEYLKJLRYQISM-PAEMFELMSA-N,1,flavonoid_trusted,0.0 Unrecognized,manual_review_sugar_bridge,
CC(=O)O[C@@H]1[C@@H](O)[C@@H](O)[C@H](OC[C@H]2OC[C@H](O)[C@@H](OC(C)=O)[C@@H]2OC(C)=O)O[C@H]1C,KGDNRMUHXYXBNW-ZOIOJLRHSA-N,1,flavonoid_trusted,0.0 Unrecognized,manual_review_sugar_bridge,
CC(=O)O[C@@H]1[C@@H](O)[C@@H](O)[C@H](OC[C@H]2OC[C@H](OC(C)=O)[C@@H](O)[C@@H]2OC(C)=O)O[C@H]1C,SBALPBYCRKMFGJ-XTBJHEEJSA-N,1,flavonoid_trusted,0.0 Unrecognized,manual_review_sugar_bridge,
CCCCCCC[C@@H]1O[C@@H](OC[C@H]2OC[C@H](OC(C)=O)[C@@H](O)[C@@H]2O)[C@H](O)[C@H](O)[C@H]1O,QCFSLRPPLNWZAC-LXROPCLASA-N,1,flavonoid_trusted,0.0 Unrecognized,manual_review_sugar_bridge,
CCCCCCC[C@@H]1O[C@@H](OC[C@H]2OC[C@H](O)[C@@H](OC(C)=O)[C@@H]2O)[C@H](O)[C@H](O)[C@H]1O,JXXOTFLPVWOKHF-HMJPBDLZSA-N,1,flavonoid_trusted,0.0 Unrecognized,manual_review_sugar_bridge,
