inchikey,smiles,mw,observed_as_reactant,observed_as_product,strict_starting_material_candidate,source_reaction_ids,source_files,classifications
RDQPFMNIAQWVBC-UHFFFAOYSA-N,COc1ccc(C(=O)C2=CC(C)Oc3ccccc32)c(OC)c1,310.349,True,True,False,LIT_0301_v02;LIT_0302_v02,26-06-26 黄酮化合物的合成.md,literature_reaction;oxidation
LLEDEBWBZLISLE-UHFFFAOYSA-N,COc1ccc(C(=O)C2=CC(OC)Oc3ccccc32)c(OC)c1,326.348,True,True,False,LIT_0301_v03;LIT_0302_v03,26-06-26 黄酮化合物的合成.md,literature_reaction;oxidation
CJIXFBQMKSGLFI-UHFFFAOYSA-N,COc1ccc(C(=O)C2=CCOc3ccccc32)c(OC)c1,296.322,True,True,False,LIT_0301_v01;LIT_0302_v01,26-06-26 黄酮化合物的合成.md,literature_reaction;oxidation
NERJRIARSCJAFR-UHFFFAOYSA-N,COc1ccc(C(=O)C=Cc2c(OC)cc(OC)cc2OC)cc1,328.364,False,True,False,LIT_0107_v10,26-06-26 黄酮化合物的合成.md,biosynthesis
PVORTPYXUXJULM-UHFFFAOYSA-N,COc1ccc(C(=O)C=Cc2c(OC)cccc2OC)cc1,298.338,False,True,False,LIT_0107_v08,26-06-26 黄酮化合物的合成.md,biosynthesis
SVNGLYGVFCJUPR-UHFFFAOYSA-N,COc1ccc(C(=O)C=Cc2cc(OC)ccc2OC)cc1,298.338,False,True,False,LIT_0107_v06,26-06-26 黄酮化合物的合成.md,biosynthesis
DDKSEIMPHBCIKS-UHFFFAOYSA-N,COc1ccc(C(=O)C=Cc2ccc(Br)cc2)cc1,317.182,False,True,False,LIT_0107_v19,26-06-26 黄酮化合物的合成.md,biosynthesis
QSTYRJCRRHXXQH-UHFFFAOYSA-N,COc1ccc(C(=O)C=Cc2ccc(C)cc2)cc1,252.313,False,True,False,LIT_0107_v22,26-06-26 黄酮化合物的合成.md,biosynthesis
RESSHTKZHPRDTR-UHFFFAOYSA-N,COc1ccc(C(=O)C=Cc2ccc(Cl)cc2)cc1,272.731,False,True,False,LIT_0107_v16,26-06-26 黄酮化合物的合成.md,biosynthesis
XTFDWSGQZILIFT-UHFFFAOYSA-N,COc1ccc(C(=O)C=Cc2ccc(OC(C)=O)cc2)c(OC)c1,326.348,False,True,False,LIT_0103,26-06-26 黄酮化合物的合成.md,chalcone_synthesis
KJHHAPASNNVTSN-UHFFFAOYSA-N,COc1ccc(C(=O)C=Cc2ccccc2)cc1,238.286,False,True,False,LIT_0105_v05;LIT_0107_v02;LIT_0107_v13,26-06-26 黄酮化合物的合成.md,biosynthesis;chalcone_synthesis
ZYEPMOMZGIFJAR-UHFFFAOYSA-N,COc1ccc(C(=O)C=Cc2ccccc2)cc1C(F)(F)F,306.283,False,True,False,LIT_0105_v08,26-06-26 黄酮化合物的合成.md,chalcone_synthesis
DJUDWUHRZBILKP-UHFFFAOYSA-N,COc1ccc(C(=O)C=Cc2ccccc2)cc1OC,268.312,False,True,False,LIT_0105_v07,26-06-26 黄酮化合物的合成.md,chalcone_synthesis
NHBIXHHKKHWXDQ-UHFFFAOYSA-N,COc1ccc(C(=O)C=Cc2ccccc2)cc1[N+](=O)[O-],283.283,False,True,False,LIT_0105_v06,26-06-26 黄酮化合物的合成.md,chalcone_synthesis
ZSXLQEAUXLJRSQ-UHFFFAOYSA-N,COc1ccc(C(=O)C=Cc2ccccc2OC)cc1,268.312,False,True,False,LIT_0107_v04,26-06-26 黄酮化合物的合成.md,biosynthesis
