smiles,canonical_smiles,inchikey,count,first_seen_experiment,upstream_family,sugar_core,protection_state,bridge_action,bridge_layer,confidence,mw,heavy_atoms,carbon_count,oxygen_count,sugar_ring_count,aromatic_atom_count,acetyl_count,silyl_count,rhamnose_signature,notes
COc1ccc(C2CC(=O)c3c(O)cc(O[C@@H]4O[C@H](CO[C@@H]5O[C@@H](C)[C@H](OC(C)=O)[C@@H](O)[C@H]5O)[C@@H](O)[C@H](O)[C@H]4O)cc3O2)cc1OC,COc1ccc(C2CC(=O)c3c(O)cc(O[C@@H]4O[C@H](CO[C@@H]5O[C@@H](C)[C@H](OC(C)=O)[C@@H](O)[C@H]5O)[C@@H](O)[C@H](O)[C@H]4O)cc3O2)cc1OC,QGFHUFQZVVXCLS-FKRVWGKGSA-N,1,baseline_strict,0.0 Unrecognized,flavonoid_bound_glycoside_or_aromatic_glycoside,acetylated:1,manual_review_do_not_bridge_as_stock,,medium,666.6,47,31,16,2,12,1,0,True,"Contains aromatic scaffold; keep as chemistry target, not stock bridge"
COc1ccc(C2CC(=O)c3c(O)cc(O[C@@H]4O[C@H](CO[C@@H]5O[C@@H](C)[C@H](O)[C@@H](O)[C@H]5O)[C@@H](OC(C)=O)[C@H](O)[C@H]4O)cc3O2)cc1OC,COc1ccc(C2CC(=O)c3c(O)cc(O[C@@H]4O[C@H](CO[C@@H]5O[C@@H](C)[C@H](O)[C@@H](O)[C@H]5O)[C@@H](OC(C)=O)[C@H](O)[C@H]4O)cc3O2)cc1OC,RMAUNZJDQHPMOR-CIOQSQLVSA-N,1,baseline_strict,0.0 Unrecognized,flavonoid_bound_glycoside_or_aromatic_glycoside,acetylated:1,manual_review_do_not_bridge_as_stock,,medium,666.6,47,31,16,2,12,1,0,True,"Contains aromatic scaffold; keep as chemistry target, not stock bridge"
COc1ccc(C2CC(=O)c3c(O)cc(O[C@@H]4O[C@H](CO[C@@H]5O[C@@H](C)[C@H](O)[C@@H](OC(C)=O)[C@H]5O)[C@@H](O)[C@H](O)[C@H]4O)cc3O2)cc1OC,COc1ccc(C2CC(=O)c3c(O)cc(O[C@@H]4O[C@H](CO[C@@H]5O[C@@H](C)[C@H](O)[C@@H](OC(C)=O)[C@H]5O)[C@@H](O)[C@H](O)[C@H]4O)cc3O2)cc1OC,SFJGZEAJXXBNTJ-WMQJJTPLSA-N,1,baseline_strict,0.0 Unrecognized,flavonoid_bound_glycoside_or_aromatic_glycoside,acetylated:1,manual_review_do_not_bridge_as_stock,,medium,666.6,47,31,16,2,12,1,0,True,"Contains aromatic scaffold; keep as chemistry target, not stock bridge"
COc1ccc(C2CC(=O)c3c(O)cc(O[C@@H]4O[C@H](CO[C@@H]5O[C@@H](C)[C@H](O)[C@@H](OC(C)=O)[C@H]5O)[C@@H](O)[C@H](OC(C)=O)[C@H]4O)cc3O2)cc1OC,COc1ccc(C2CC(=O)c3c(O)cc(O[C@@H]4O[C@H](CO[C@@H]5O[C@@H](C)[C@H](O)[C@@H](OC(C)=O)[C@H]5O)[C@@H](O)[C@H](OC(C)=O)[C@H]4O)cc3O2)cc1OC,TWNFDEHIYQJMOJ-NASOLHNBSA-N,1,baseline_strict,0.0 Unrecognized,flavonoid_bound_glycoside_or_aromatic_glycoside,acetylated:2,manual_review_do_not_bridge_as_stock,,medium,708.7,50,33,17,2,12,2,0,True,"Contains aromatic scaffold; keep as chemistry target, not stock bridge"
CCCCCCC[C@@H]1O[C@@H](OC[C@H]2OC[C@H](O)[C@@H](OC(C)=O)[C@@H]2O)[C@H](O)[C@H](O)[C@H]1O,CCCCCCC[C@@H]1O[C@@H](OC[C@H]2OC[C@H](O)[C@@H](OC(C)=O)[C@@H]2O)[C@H](O)[C@H](O)[C@H]1O,JXXOTFLPVWOKHF-HMJPBDLZSA-N,1,flavonoid_trusted,0.0 Unrecognized,neutral_or_protected_disaccharide,acetylated:1,manual_review_low_frequency_sugar,,medium,436.5,30,20,10,2,0,1,0,False,Non-aromatic disaccharide-like sugar gap
CCCCCCC[C@@H]1O[C@@H](OC[C@H]2OC[C@H](OC(C)=O)[C@@H](O)[C@@H]2O)[C@H](O)[C@H](O)[C@H]1O,CCCCCCC[C@@H]1O[C@@H](OC[C@H]2OC[C@H](OC(C)=O)[C@@H](O)[C@@H]2O)[C@H](O)[C@H](O)[C@H]1O,QCFSLRPPLNWZAC-LXROPCLASA-N,1,flavonoid_trusted,0.0 Unrecognized,neutral_or_protected_disaccharide,acetylated:1,manual_review_low_frequency_sugar,,medium,436.5,30,20,10,2,0,1,0,False,Non-aromatic disaccharide-like sugar gap
CC(=O)O[C@@H]1[C@@H](O)[C@@H](O)[C@H](OC[C@H]2OC[C@H](OC(C)=O)[C@@H](OC(C)=O)[C@@H]2O)O[C@H]1C,CC(=O)O[C@@H]1[C@@H](O)[C@@H](O)[C@H](OC[C@H]2OC[C@H](OC(C)=O)[C@@H](OC(C)=O)[C@@H]2O)O[C@H]1C,ALHWVJWBVAHMQU-GJGOQDGHSA-N,1,flavonoid_trusted,0.0 Unrecognized,rhamnosyl_hexose_disaccharide,acetylated:3,manual_review_low_frequency_sugar,,medium,436.4,30,18,12,2,0,3,0,True,Non-aromatic disaccharide-like sugar gap
CC(=O)O[C@@H]1[C@@H](O)[C@@H](OC(C)=O)[C@H](OC[C@H]2OC[C@H](OC(C)=O)[C@@H](O)[C@@H]2OC(C)=O)O[C@H]1C,CC(=O)O[C@@H]1[C@@H](O)[C@@H](OC(C)=O)[C@H](OC[C@H]2OC[C@H](OC(C)=O)[C@@H](O)[C@@H]2OC(C)=O)O[C@H]1C,FNNGBXJROBDWMA-ZHNUFAISSA-N,1,flavonoid_strict,0.0 Unrecognized,rhamnosyl_hexose_disaccharide,acetylated:4,manual_review_low_frequency_sugar,,medium,478.4,33,20,13,2,0,4,0,True,Non-aromatic disaccharide-like sugar gap
CC(=O)O[C@@H]1[C@@H](OC(C)=O)[C@H](C)O[C@@H](OC[C@H]2OC[C@H](O)[C@@H](O)[C@@H]2OC(C)=O)[C@@H]1OC(C)=O,CC(=O)O[C@@H]1[C@@H](OC(C)=O)[C@H](C)O[C@@H](OC[C@H]2OC[C@H](O)[C@@H](O)[C@@H]2OC(C)=O)[C@@H]1OC(C)=O,FPSHZDPFWSRWBR-CLTQVZSSSA-N,1,flavonoid_trusted,0.0 Unrecognized,rhamnosyl_hexose_disaccharide,acetylated:4,manual_review_low_frequency_sugar,,medium,478.4,33,20,13,2,0,4,0,True,Non-aromatic disaccharide-like sugar gap
CC(=O)O[C@H]1[C@H](OC(C)=O)[C@@H](CO[C@@H]2O[C@@H](C)[C@H](O)[C@@H](O)[C@H]2O)OC[C@@H]1OC(C)=O,CC(=O)O[C@H]1[C@H](OC(C)=O)[C@@H](CO[C@@H]2O[C@@H](C)[C@H](O)[C@@H](O)[C@H]2O)OC[C@@H]1OC(C)=O,GNEYLKJLRYQISM-PAEMFELMSA-N,1,flavonoid_trusted,0.0 Unrecognized,rhamnosyl_hexose_disaccharide,acetylated:3,manual_review_low_frequency_sugar,,medium,436.4,30,18,12,2,0,3,0,True,Non-aromatic disaccharide-like sugar gap
CC(=O)O[C@@H]1[C@@H](O)[C@@H](O)[C@H](OC[C@H]2OC[C@H](O)[C@@H](OC(C)=O)[C@@H]2OC(C)=O)O[C@H]1C,CC(=O)O[C@@H]1[C@@H](O)[C@@H](O)[C@H](OC[C@H]2OC[C@H](O)[C@@H](OC(C)=O)[C@@H]2OC(C)=O)O[C@H]1C,KGDNRMUHXYXBNW-ZOIOJLRHSA-N,1,flavonoid_trusted,0.0 Unrecognized,rhamnosyl_hexose_disaccharide,acetylated:3,manual_review_low_frequency_sugar,,medium,436.4,30,18,12,2,0,3,0,True,Non-aromatic disaccharide-like sugar gap
CC(=O)O[C@H]1[C@H](OC[C@H]2OC[C@H](OC(C)=O)[C@@H](OC(C)=O)[C@@H]2OC(C)=O)O[C@@H](C)[C@H](O)[C@H]1O,CC(=O)O[C@H]1[C@H](OC[C@H]2OC[C@H](OC(C)=O)[C@@H](OC(C)=O)[C@@H]2OC(C)=O)O[C@@H](C)[C@H](O)[C@H]1O,KSBOACHAAHEXPN-YRHVFKDNSA-N,1,flavonoid_strict,0.0 Unrecognized,rhamnosyl_hexose_disaccharide,acetylated:4,manual_review_low_frequency_sugar,,medium,478.4,33,20,13,2,0,4,0,True,Non-aromatic disaccharide-like sugar gap
CC(=O)O[C@@H]1[C@@H](O)[C@@H](O)[C@H](OC[C@H]2OC[C@H](OC(C)=O)[C@@H](OC(C)=O)[C@@H]2OC(C)=O)O[C@H]1C,CC(=O)O[C@@H]1[C@@H](O)[C@@H](O)[C@H](OC[C@H]2OC[C@H](OC(C)=O)[C@@H](OC(C)=O)[C@@H]2OC(C)=O)O[C@H]1C,OELQOCPRQSCAPZ-NOAGYLNPSA-N,1,flavonoid_strict,0.0 Unrecognized,rhamnosyl_hexose_disaccharide,acetylated:4,manual_review_low_frequency_sugar,,medium,478.4,33,20,13,2,0,4,0,True,Non-aromatic disaccharide-like sugar gap
CC(=O)O[C@@H]1[C@@H](O)[C@@H](O)[C@H](OC[C@H]2OC[C@H](OC(C)=O)[C@@H](O)[C@@H]2OC(C)=O)O[C@H]1C,CC(=O)O[C@@H]1[C@@H](O)[C@@H](O)[C@H](OC[C@H]2OC[C@H](OC(C)=O)[C@@H](O)[C@@H]2OC(C)=O)O[C@H]1C,SBALPBYCRKMFGJ-XTBJHEEJSA-N,1,flavonoid_trusted,0.0 Unrecognized,rhamnosyl_hexose_disaccharide,acetylated:3,manual_review_low_frequency_sugar,,medium,436.4,30,18,12,2,0,3,0,True,Non-aromatic disaccharide-like sugar gap
CC(=O)O[C@@H]1[C@@H](O)[C@@H](OC(C)=O)[C@H](OC[C@H]2OC[C@H](OC(C)=O)[C@@H](OC(C)=O)[C@@H]2O)O[C@H]1C,CC(=O)O[C@@H]1[C@@H](O)[C@@H](OC(C)=O)[C@H](OC[C@H]2OC[C@H](OC(C)=O)[C@@H](OC(C)=O)[C@@H]2O)O[C@H]1C,SIOFUXOWYUQWQW-ZWUBSFMASA-N,1,flavonoid_strict,0.0 Unrecognized,rhamnosyl_hexose_disaccharide,acetylated:4,manual_review_low_frequency_sugar,,medium,478.4,33,20,13,2,0,4,0,True,Non-aromatic disaccharide-like sugar gap
CC(=O)O[C@@H]1[C@@H](O)[C@@H](OC(C)=O)[C@H](OC[C@H]2OC[C@H](O)[C@@H](OC(C)=O)[C@@H]2OC(C)=O)O[C@H]1C,CC(=O)O[C@@H]1[C@@H](O)[C@@H](OC(C)=O)[C@H](OC[C@H]2OC[C@H](O)[C@@H](OC(C)=O)[C@@H]2OC(C)=O)O[C@H]1C,ZVKTVLIJXGGLRT-CLTQVZSSSA-N,1,flavonoid_strict,0.0 Unrecognized,rhamnosyl_hexose_disaccharide,acetylated:4,manual_review_low_frequency_sugar,,medium,478.4,33,20,13,2,0,4,0,True,Non-aromatic disaccharide-like sugar gap
